"streetlight_model","streetlight_type","streetlight_wattage","longitude","latitude"
"COBRA","IND","85.0","-117.14475319","32.70171798"
"COBRA","IND","85.0","-117.1476722","32.70096087"
"COBRA","IND","85.0","-117.14796706","32.70063415"
"COBRA","IND","85.0","-117.14845131","32.70020397"
"COBRA","IND","85.0","-117.14333989","32.69958893"
"COBRA","IND","85.0","-117.14419763","32.70016013"
"COBRA","IND","85.0","-117.24752522","32.71568324"
"COBRA","IND","85.0","-117.24791503","32.71444755"
"COBRA","IND","85.0","-117.24861207","32.71143866"
"COBRA","IND","85.0","-117.24885856","32.71058635"
"COBRA","IND","85.0","-117.24859094","32.71073741"
"COBRA","IND","85.0","-117.24784899","32.71358804"
"COBRA","IND","85.0","-117.24764327","32.71397118"
"COBRA","IND","85.0","-117.24755273","32.71476369"
"COBRA","IND","85.0","-117.24679792","32.71759216"
"COBRA","IND","85.0","-117.24653325","32.71852347"
"COBRA","IND","85.0","-117.2472632","32.71562901"
"COBRA","IND","85.0","-117.24331941","32.71954069"
"COBRA","IND","85.0","-117.24471392","32.71981184"
"COBRA","IND","85.0","-117.24244387","32.71838594"
"COBRA","IND","85.0","-117.24355322","32.71864518"
"COBRA","IND","85.0","-117.2452867","32.71805697"
"COBRA","IND","85.0","-117.2532019","32.72038886"
"COBRA","IND","85.0","-117.25339162","32.71898884"
"COBRA","IND","85.0","-117.25338658","32.72008088"
"COBRA","IND","85.0","-117.24236795","32.71935002"
"COBRA","IND","85.0","-117.24638816","32.72013045"
"COBRA","IND","85.0","-117.24703494","32.71660636"
"COBRA","IND","85.0","-117.24727603","32.716461"
"COBRA","IND","85.0","-117.23651133","32.7203458"
"COBRA","IND","85.0","-117.24628644","32.71935728"
"COBRA","IND","85.0","-117.24635536","32.71915635"
"COBRA","IND","85.0","-117.24652145","32.71924698"
"COBRA","HPS","250.0","-117.24599273","32.72022356"
"COBRA","HPS","250.0","-117.24595803","32.72017403"
"COBRA","IND","85.0","-117.24660037","32.71897041"
"COBRA","IND","85.0","-117.24689113","32.71829"
"COBRA","IND","85.0","-117.24703051","32.71745147"
"COBRA","IND","85.0","-117.24836408","32.71167066"
"COBRA","IND","85.0","-117.24822488","32.71331184"
"COBRA","IND","85.0","-117.24794528","32.71313196"
"COBRA","IND","85.0","-117.2483105","32.71289624"
"COBRA","IND","85.0","-117.14668333","32.70167834"
"COBRA","IND","165.0","-117.14447059","32.70145529"
"COBRA","IND","165.0","-117.1473687","32.69849329"
"COBRA","IND","165.0","-117.14623117","32.69867975"
"COBRA","IND","165.0","-117.14586248","32.69840685"
"COBRA","IND","165.0","-117.14616185","32.70258294"
"COBRA","IND","165.0","-117.23644729","32.71636747"
"COBRA","IND","165.0","-117.14405257","32.70150238"
"COBRA","IND","165.0","-117.14386185","32.70115145"
"COBRA","IND","165.0","-117.14319416","32.70059922"
"COBRA","IND","85.0","-117.14261993","32.70021778"
"COBRA","IND","165.0","-117.14006458","32.69735008"
"COBRA","IND","165.0","-117.14007587","32.69711055"
"COBRA","IND","165.0","-117.14282348","32.69928318"
"COBRA","IND","85.0","-117.1460115","32.70119954"
"COBRA","IND","165.0","-117.14933663","32.70212279"
"COBRA","IND","85.0","-117.14834369","32.70146835"
"COBRA","IND","165.0","-117.1501107","32.70135294"
"COBRA","IND","85.0","-117.14823698","32.69754364"
"COBRA","IND","85.0","-117.14740967","32.6980762"
"COBRA","HPS","400.0","-117.14876511","32.69700177"
"COBRA","IND","85.0","-117.14259359","32.69474459"
"COBRA","IND","85.0","-117.14245854","32.69468663"
"COBRA","IND","85.0","-117.1423865","32.69496779"
"COBRA","IND","85.0","-117.14375903","32.69360872"
"COBRA","IND","85.0","-117.14224244","32.694868"
"COBRA","IND","85.0","-117.23774359","32.70762771"
"COBRA","IND","165.0","-117.13954355","32.7007554"
"COBRA","IND","165.0","-117.14091501","32.70200874"
"COBRA","IND","165.0","-117.14184751","32.70129986"
"COBRA","IND","85.0","-117.1507662","32.700719"
"COBRA","IND","85.0","-117.15072507","32.70034367"
"COBRA","IND","85.0","-117.14927052","32.69936106"
"COBRA","HPS","250.0","-117.14235427","32.69892256"
"COBRA","IND","85.0","-117.14499708","32.69780505"
"COBRA","IND","85.0","-117.14345842","32.69674372"
"COBRA","IND","85.0","-117.14181868","32.69557143"
"COBRA","IND","165.0","-117.1401483","32.6944489"
"COBRA","IND","85.0","-117.13935896","32.69520817"
"COBRA","IND","85.0","-117.14160535","32.6984472"
"COBRA","IND","85.0","-117.14406606","32.69876069"
"COBRA","IND","165.0","-117.14076263","32.69352958"
"COBRA","IND","165.0","-117.14067049","32.6934488"
"COBRA","IND","165.0","-117.13980072","32.69284876"
"COBRA","IND","165.0","-117.14392665","32.69727152"
"COBRA","IND","165.0","-117.14449531","32.69766896"
"COBRA","IND","85.0","-117.14133734","32.69871288"
"COBRA","IND","85.0","-117.14256692","32.69744002"
"COBRA","IND","165.0","-117.14305476","32.69435945"
"COBRA","IND","165.0","-117.14336376","32.69398296"
"COBRA","IND","55.0","-117.23733707","32.70840022"
"POSTTOP","","0.0","-117.25668655","32.71972509"
"POSTTOP","","0.0","-117.2544089","32.72017467"
"POSTTOP","","0.0","-117.2555932","32.71952826"
"COBRA","HPS","0.0","-117.25459391","32.71915715"
"POSTTOP","LPS","0.0","-117.24215157","32.71148328"
"MISCELLANEOUS-1HEAD","","","-117.2420975","32.71168616"
"POSTTOP","LPS","35.0","-117.24274935","32.71145328"
"POSTTOP","LPS","35.0","-117.24280237","32.71125221"
"POSTTOP","LPS","35.0","-117.24226365","32.71116468"
"POSTTOP","LPS","0.0","-117.24230066","32.71015151"
"POSTTOP","LPS","35.0","-117.24252476","32.71053115"
"POSTTOP","LPS","35.0","-117.24272995","32.71092835"
"POSTTOP","LPS","35.0","-117.24193484","32.71038616"
"POSTTOP","LPS","35.0","-117.24183366","32.71078941"
"POSTTOP","LPS","55.0","-117.24170947","32.71113282"
"POSTTOP","LPS","35.0","-117.24154993","32.71166632"
"POSTTOP","LPS","0.0","-117.24118607","32.71335831"
"POSTTOP","LPS","0.0","-117.24127718","32.71265122"
"POSTTOP","LPS","35.0","-117.24210724","32.70971147"
"POSTTOP","","0.0","-117.14085323","32.69898816"
"POSTTOP","","0.0","-117.14053941","32.69897124"
"POSTTOP","LPS","35.0","-117.24222331","32.71071938"
"COBRA","IND","","-117.23783286","32.70797597"
"POSTTOP","LPS","0.0","-117.23658106","32.71843173"
"POSTTOP","LPS","55.0","-117.23623858","32.71979793"
"POSTTOP","LPS","55.0","-117.23507788","32.71964784"
"POSTTOP","LPS","55.0","-117.23998423","32.71907701"
"POSTTOP","LPS","0.0","-117.23929379","32.7202483"
"COBRA","IND","85.0","-117.24877717","32.70996003"
"COBRA","IND","85.0","-117.24912297","32.70996252"
"COBRA","IND","85.0","-117.24883106","32.70972248"
"POSTTOP","","0.0","-117.13929301","32.69791362"
"POSTTOP","","0.0","-117.13933811","32.69814482"
"POSTTOP","","0.0","-117.13961102","32.69813579"
"POSTTOP","","0.0","-117.13962234","32.6983391"
"POSTTOP","HPS","100.0","-117.13991292","32.69834239"
"POSTTOP","","0.0","-117.13991477","32.69854009"
"POSTTOP","HPS","100.0","-117.14021131","32.69854908"
"POSTTOP","","0.0","-117.14055034","32.69878846"
"SOFFIT","","0.0","-117.14347001","32.70112883"
"BASKETBALL COURT","","0.0","-117.1432509","32.70105527"
"BASKETBALL COURT","","0.0","-117.14338888","32.70115223"
"BASKETBALL COURT","","0.0","-117.14351162","32.70128546"
"COBRA","IND","85.0","-117.24915454","32.70970899"
"POSTTOP","LPS","35.0","-117.24137924","32.71217714"
"COBRA","IND","165.0","-117.14099486","32.69929092"
"POSTTOP","","","-117.14083573","32.69918002"
"COBRA","IND","85.0","-117.23844701","32.71043585"
"POSTTOP","","","-117.25440903","32.71928834"
"COBRA","IND","165.0","-117.1420044","32.69997959"
"COBRA","HPS","250.0","-117.1422488","32.69860991"
"COBRA","IND","165.0","-117.14408906","32.69855919"
"COBRA","HPS","250.0","-117.14357028","32.69820755"
"COBRA","IND","165.0","-117.17126388","32.710306"
"COBRA","IND","165.0","-117.17083524","32.70995322"
"COBRA","HPS","250.0","-117.17084231","32.7102812"
"COBRA","HPS","","-117.14363603","32.70232712"
"SOFFIT","MERCURY VAPOR","175.0","-117.1437521","32.70213103"
"COBRA","HPS","250.0","-117.14349084","32.70247335"
"COBRA","HPS","","-117.14340001","32.70213412"
"COBRA","HPS","250.0","-117.14327876","32.69692462"
"COBRA","IND","165.0","-117.14324772","32.70227163"
"COBRA","IND","165.0","-117.14762477","32.69816894"
"COBRA","IND","165.0","-117.14713181","32.69832309"
"COBRA","IND","165.0","-117.13928525","32.69289741"
"COBRA","IND","85.0","-117.14103068","32.69635854"
"COBRA","HPS","250.0","-117.14065402","32.69373418"
"SOFFIT","","0.0","-117.14341575","32.70097562"
"POSTTOP","LPS","35.0","-117.24202213","32.71006673"
"GATEWAY","","","-117.16749089","32.7107993"
"GATEWAY","","","-117.16749397","32.7108238"
"COBRA","IND","165.0","-117.1412383","32.69523535"
"COBRA","IND","165.0","-117.13932988","32.69389"
"COBRA","IND","165.0","-117.14663645","32.69918421"
"COBRA","IND","165.0","-117.14656549","32.69890851"
"COBRA","IND","165.0","-117.14680565","32.69904242"
"COBRA","IND","165.0","-117.14605602","32.69984897"
"COBRA","IND","165.0","-117.14577587","32.69972565"
"COBRA","IND","165.0","-117.14590517","32.7000158"
"COBRA","IND","165.0","-117.14499994","32.70048618"
"COBRA","IND","165.0","-117.14507752","32.70083799"
"COBRA","IND","165.0","-117.14481892","32.70070017"
"COBRA","IND","165.0","-117.14432689","32.70161472"
"SOFFIT","MERCURY VAPOR","175.0","-117.14376458","32.70191328"
"SOFFIT","MERCURY VAPOR","175.0","-117.14389218","32.70199352"
"SOFFIT","MERCURY VAPOR","175.0","-117.143632","32.70205739"
"COBRA","IND","165.0","-117.17089036","32.71133729"
"COBRA","IND","165.0","-117.17119659","32.71132707"
"COBRA","IND","165.0","-117.16930373","32.71120759"
"COBRA","IND","165.0","-117.16904968","32.71115128"
"COBRA","IND","165.0","-117.16843333","32.71090343"
"COBRA","IND","165.0","-117.16816517","32.71079788"
"COBRA","IND","250.0","-117.16793426","32.71107033"
"COBRA","IND","165.0","-117.16829304","32.71125226"
"GATEWAY","LED","81.0","-117.16704344","32.71136407"
"GATEWAY","LED","81.0","-117.16727578","32.71135736"
"GATEWAY","LED","81.0","-117.16742955","32.71131545"
"GATEWAY","LED","81.0","-117.16742687","32.71134705"
"GATEWAY","LED","81.0","-117.16728096","32.71131527"
"GATEWAY","LED","81.0","-117.16704613","32.71133021"
"GATEWAY","LED","81.0","-117.17188894","32.71138757"
"POSTTOP","LED","81.0","-117.16929009","32.71065474"
"POSTTOP","LED","81.0","-117.16932821","32.7108051"
"POSTTOP","LED","81.0","-117.16929485","32.71110384"
"POSTTOP","LED","81.0","-117.16930677","32.71096349"
"POSTTOP","LED","81.0","-117.16910899","32.71102163"
"POSTTOP","LED","81.0","-117.16913282","32.71085322"
"POSTTOP","LED","81.0","-117.16912091","32.71065273"
"POSTTOP","LED","81.0","-117.16909708","32.71041214"
"POSTTOP","LED","81.0","-117.169302","32.71046226"
"GATEWAY","LED","81.0","-117.17189143","32.71135614"
"GATEWAY","LED","81.0","-117.17134089","32.71079118"
"GATEWAY","LED","81.0","-117.17127253","32.71079118"
"GATEWAY","LED","81.0","-117.16645228","32.71024429"
"GATEWAY","LED","81.0","-117.16642509","32.71029005"
"GATEWAY","LED","81.0","-117.17015906","32.71123927"
"GATEWAY","LED","81.0","-117.16606086","32.71131498"
"GATEWAY","LED","81.0","-117.1662299","32.71131358"
"GATEWAY","LED","81.0","-117.16623094","32.71134712"
"GATEWAY","LED","81.0","-117.17053371","32.71126264"
"GATEWAY","LED","81.0","-117.1705295","32.71130875"
"GATEWAY","LED","81.0","-117.16858523","32.71093246"
"GATEWAY","LED","81.0","-117.16881858","32.71104304"
"GATEWAY","LED","81.0","-117.16882055","32.71106912"
"GATEWAY","LED","81.0","-117.16612529","32.70971711"
"GATEWAY","LED","81.0","-117.166113","32.70976053"
"GATEWAY","LED","81.0","-117.16779708","32.71061808"
"GATEWAY","LED","81.0","-117.1677913","32.71058942"
"GATEWAY","LED","81.0","-117.16797637","32.71072032"
"GATEWAY","LED","81.0","-117.16798557","32.71075686"
"GATEWAY","LED","81.0","-117.16859082","32.71096504"
"GATEWAY","LED","81.0","-117.16979025","32.7112765"
"GATEWAY","LED","81.0","-117.16953313","32.71128005"
"GATEWAY","LED","81.0","-117.16952891","32.71123394"
"GATEWAY","LED","81.0","-117.16750966","32.7103863"
"GATEWAY","LED","81.0","-117.16752342","32.71043226"
"GATEWAY","LED","81.0","-117.16978182","32.71123749"
"GATEWAY","LED","81.0","-117.16681899","32.71131532"
"GATEWAY","LED","81.0","-117.1701518","32.71120164"
"GATEWAY","LED","81.0","-117.16606073","32.71134742"
"GATEWAY","LED","81.0","-117.16682167","32.71134917"
"GATEWAY","LED","81.0","-117.16660104","32.71134727"
"GATEWAY","LED","81.0","-117.16779301","32.71147533"
"GATEWAY","LED","81.0","-117.16664035","32.71132744"
"GATEWAY","LED","81.0","-117.16642283","32.7113068"
"GATEWAY","LED","81.0","-117.16642176","32.71134631"
