station_id,avg_daily_traffic,yearly_traffic,distance lights to station in feet,lights_lat,lights_long,no. of lights
Station_id 119030,31931,11655051,8097.301555,32.69832309,-117.1471318,20686
Station_id 119030,31931,11655051,5422.68225,32.69289741,-117.1392853,20686
Station_id 119030,31931,11655051,6096.894485,32.69635854,-117.1410307,20686
Station_id 119030,31931,11655051,5854.298895,32.69373418,-117.140654,20686
Station_id 119030,31931,11655051,7325.183726,32.70097562,-117.1434158,20686
Station_id 119030,31931,11655051,15586.08625,32.7107993,-117.1674909,20686
Station_id 119030,31931,11655051,15590.71662,32.7108238,-117.167494,20686
Station_id 119030,31931,11655051,6088.009773,32.69523535,-117.1412383,20686
Station_id 119030,31931,11655051,5449.16271,32.69389,-117.1393299,20686
Station_id 119030,31931,11655051,8033.639483,32.69918421,-117.1466365,20686
Station_id 119030,31931,11655051,7984.194933,32.69890851,-117.1465655,20686
Station_id 119030,31931,11655051,8069.116378,32.69904242,-117.1468057,20686
Station_id 119030,31931,11655051,7936.647482,32.69984897,-117.146056,20686
Station_id 119030,31931,11655051,7840.165273,32.69972565,-117.1457759,20686
Station_id 119030,31931,11655051,7912.417666,32.7000158,-117.1459052,20686
Station_id 119030,31931,11655051,7709.21372,32.70048618,-117.1449999,20686
Station_id 119030,31931,11655051,7778.805177,32.70083799,-117.1450775,20686
Station_id 119030,31931,11655051,7685.83511,32.70070017,-117.1448189,20686
Station_id 119030,31931,11655051,7677.913248,32.70161472,-117.1443269,20686
Station_id 119030,31931,11655051,7567.237753,32.70191328,-117.1437646,20686
Station_id 119030,31931,11655051,7615.538272,32.70199352,-117.1438922,20686
Station_id 119030,31931,11655051,7553.660792,32.70205739,-117.143632,20686
Station_id 119030,31931,11655051,16624.25168,32.71133729,-117.1708904,20686
Station_id 119030,31931,11655051,16709.2926,32.71132707,-117.1711966,20686
Station_id 119030,31931,11655051,16157.56169,32.71120759,-117.1693037,20686
Station_id 119030,31931,11655051,16077.57725,32.71115128,-117.1690497,20686
Station_id 119030,31931,11655051,15866.64691,32.71090343,-117.1684333,20686
Station_id 119030,31931,11655051,15775.22259,32.71079788,-117.1681652,20686
Station_id 119030,31931,11655051,15752.1127,32.71107033,-117.1679343,20686
Station_id 119030,31931,11655051,15880.72429,32.71125226,-117.168293,20686
Station_id 119030,31931,11655051,15549.31534,32.71136407,-117.1670434,20686
Station_id 119030,31931,11655051,15612.96185,32.71135736,-117.1672758,20686
Station_id 119030,31931,11655051,15649.21995,32.71131545,-117.1674296,20686
Station_id 119030,31931,11655051,15653.45142,32.71134705,-117.1674269,20686
Station_id 119030,31931,11655051,15607.75462,32.71131527,-117.167281,20686
Station_id 119030,31931,11655051,15544.6888,32.71133021,-117.1670461,20686
Station_id 119030,31931,11655051,16914.14259,32.71138757,-117.1718889,20686
Station_id 119030,31931,11655051,16070.94848,32.71065474,-117.1692901,20686
Station_id 119030,31931,11655051,16104.01452,32.7108051,-117.1693282,20686
Station_id 119030,31931,11655051,16139.37062,32.71110384,-117.1692949,20686
Station_id 119030,31931,11655051,16121.61885,32.71096349,-117.1693068,20686
Station_id 119030,31931,11655051,16074.64078,32.71102163,-117.169109,20686
Station_id 119030,31931,11655051,16056.05753,32.71085322,-117.1691328,20686
Station_id 119030,31931,11655051,16022.83786,32.71065273,-117.1691209,20686
Station_id 119030,31931,11655051,15980.62698,32.71041214,-117.1690971,20686
Station_id 119030,31931,11655051,16045.99923,32.71046226,-117.169302,20686
Station_id 119030,31931,11655051,16910.25552,32.71135614,-117.1718914,20686
Station_id 119030,31931,11655051,16672.20301,32.71079118,-117.1713409,20686
Station_id 119030,31931,11655051,16652.7734,32.71079118,-117.1712725,20686
Station_id 119030,31931,11655051,15209.59393,32.71024429,-117.1664523,20686
Station_id 119030,31931,11655051,15208.95082,32.71029005,-117.1664251,20686
Station_id 119030,31931,11655051,16403.23383,32.71123927,-117.1701591,20686
Station_id 119030,31931,11655051,15268.43377,32.71131498,-117.1660609,20686
Station_id 119030,31931,11655051,15315.10801,32.71131358,-117.1662299,20686
Station_id 119030,31931,11655051,15320.79611,32.71134712,-117.1662309,20686
Station_id 119030,31931,11655051,16512.43951,32.71126264,-117.1705337,20686
Station_id 119030,31931,11655051,16518.11874,32.71130875,-117.1705295,20686
Station_id 119030,31931,11655051,15913.76778,32.71093246,-117.1685852,20686
Station_id 119030,31931,11655051,15996.16511,32.71104304,-117.1688186,20686
Station_id 119030,31931,11655051,16000.67897,32.71106912,-117.1688206,20686
Station_id 119030,31931,11655051,15037.8947,32.70971711,-117.1661253,20686
Station_id 119030,31931,11655051,15040.93501,32.70976053,-117.166113,20686
Station_id 119030,31931,11655051,15644.43335,32.71061808,-117.1677971,20686
Station_id 119030,31931,11655051,15638.46697,32.71058942,-117.1677913,20686
Station_id 119030,31931,11655051,15710.3618,32.71072032,-117.1679764,20686
Station_id 119030,31931,11655051,15718.49828,32.71075686,-117.1679856,20686
Station_id 119030,31931,11655051,15920.28265,32.71096504,-117.1685908,20686
Station_id 119030,31931,11655051,16304.89435,32.7112765,-117.1697903,20686
Station_id 119030,31931,11655051,16233.06811,32.71128005,-117.1695331,20686
Station_id 119030,31931,11655051,16224.90276,32.71123394,-117.1695289,20686
Station_id 119030,31931,11655051,15528.51551,32.7103863,-117.1675097,20686
Station_id 119030,31931,11655051,15539.32142,32.71043226,-117.1675234,20686
Station_id 119030,31931,11655051,16296.64282,32.71123749,-117.1697818,20686
Station_id 119030,31931,11655051,15479.09601,32.71131532,-117.166819,20686
Station_id 119030,31931,11655051,16395.56174,32.71120164,-117.1701518,20686
Station_id 119030,31931,11655051,15273.63644,32.71134742,-117.1660607,20686
Station_id 119030,31931,11655051,15485.23368,32.71134917,-117.1668217,20686
Station_id 119030,31931,11655051,15423.58901,32.71134727,-117.166601,20686
Station_id 119030,31931,11655051,15775.78101,32.71147533,-117.167793,20686
Station_id 119030,31931,11655051,15431.34441,32.71132744,-117.1666404,20686
Station_id 119030,31931,11655051,15367.59192,32.7113068,-117.1664228,20686
Station_id 119030,31931,11655051,15373.6322,32.71134631,-117.1664218,20686
Station_id 119030,31931,11655051,26495.14158,32.76087751,-117.151381,20686
Station_id 119030,31931,11655051,25862.3698,32.75829118,-117.1535927,20686
Station_id 119030,31931,11655051,25973.07679,32.75896391,-117.1525761,20686
Station_id 119030,31931,11655051,26339.88676,32.75908975,-117.1553337,20686
Station_id 119030,31931,11655051,25596.27344,32.75901322,-117.1489103,20686
Station_id 119030,31931,11655051,25727.73308,32.75634208,-117.1577046,20686
Station_id 119030,31931,11655051,25204.26473,32.75684107,-117.1521576,20686
Station_id 119030,31931,11655051,25898.62597,32.75920446,-117.1511651,20686
Station_id 119030,31931,11655051,26185.05126,32.7599392,-117.1514871,20686
Station_id 119030,31931,11655051,25454.54923,32.75730844,-117.1529494,20686
Station_id 119030,31931,11655051,24238.26731,32.75677958,-117.142621,20686
Station_id 119030,31931,11655051,25899.15108,32.76089134,-117.1451684,20686
Station_id 119030,31931,11655051,25796.41119,32.76090176,-117.1439048,20686
Station_id 119030,31931,11655051,25669.57043,32.76086508,-117.1424737,20686
Station_id 119030,31931,11655051,25520.7393,32.76090911,-117.1402251,20686
Station_id 119030,31931,11655051,25721.46529,32.75899821,-117.1501705,20686
Station_id 119030,31931,11655051,25469.02249,32.7589975,-117.1476838,20686
Station_id 119030,31931,11655051,25221.37257,32.75902964,-117.144884,20686
Station_id 119030,31931,11655051,25070.15062,32.7590298,-117.1430932,20686
Station_id 119030,31931,11655051,25034.69699,32.75903402,-117.1426343,20686
Station_id 119030,31931,11655051,24944.1734,32.75903682,-117.1414546,20686
Station_id 119030,31931,11655051,24854.53034,32.75903881,-117.1402207,20686
Station_id 119030,31931,11655051,25605.5701,32.76090075,-117.141456,20686
